Description,Filename,Original URL
"Covered Patio Tile;Covered Patio Tile - Architessa","covered-patio-tile-covered-patio-tile-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Covered_Patio_Tile_-_Frontier20_Deco_Look.png?v=1711373771"
"Feature Wall;Feature Wall - Architessa","feature-wall-feature-wall-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Feature_Wall_Tile_-_Metal_Matrix.png?v=1711373771"
"Shower Floor;Shower Floor - Architessa","shower-floor-shower-floor-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Shower_Floor_-_Davenport.png?v=1711373779"
"Hexagon;Hexagon","hexagon-hexagon.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Napoleon.png?v=1681243030"
"Arabesque & Lantern;Arabesque & Lantern - Architessa","arabesque-lantern-arabesque-lantern-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/8d53dd4ce71bab936618cfe3066ca995.jpg?v=1711373768"
"Circle & Oval Tile;","circle-oval-tile.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/fanfare_white_circle_wall_3.jpg?v=1742389969"
"Plank;Plank Shaped Tile","plank-plank-shaped-tile.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Emotion.png?v=1681243496"
"Basketweave & Woven;Basketweave","basketweave-woven-basketweave.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Align.png?v=1681244739"
"Octagon;Octagon - Architessa","octagon-octagon-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/RUE_PIERRE_BLANC_ANT_12_OCTAGON.png?v=1711373775"
"Waterjet & Freeform;Waterjet Mosaic","waterjet-freeform-waterjet-mosaic.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Divine.png?v=1681244496"
"Scallop & Fan;Scallop Fan Tile","scallop-fan-scallop-fan-tile.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Fanfare.png?v=1681243898"
"Diamond;Diamond - Architessa","diamond-diamond-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/c144e232a7f7ab494712e5838ab8f186.png?v=1711373771"
"Chevron;Chevron - Architessa","chevron-chevron-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/c92dc5bed6f044aad38c6c5f131d964f.png?v=1711373768"
"Geometric;Geometric - Architessa","geometric-geometric-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/9acda50c33990c54564fc88a89cff39f.png?v=1711373771"
"Culturebrick & Linear Tile;Culturebrick & Linear Tile - Architessa","culturebrick-linear-tile-culturebrick-linear-tile-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Divergent_-_Linear.png?v=1711373771"
"Brick;Brick Shaped Tile","brick-brick-shaped-tile.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/f521be6c467383f1d821c7e5d956e561.png?v=1681305482"
"Rectangle;Rectangle Shaped Tile","rectangle-rectangle-shaped-tile.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Beyond.png?v=1681243676"
"Square;Square - Architessa","square-square-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Palatial.png?v=1711373779"
"Beveled;Beveled - Architessa","beveled-beveled-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Boutique_Sleek.png?v=1711373767"
"All Shapes;","all-shapes.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/pure_atlas_point-reyes_inspo.jpg?v=1729529143"
"Residential Light Traffic;","residential-light-traffic.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/checkerboard_teaser_6.png?v=1742390193"
"Commercial Light Traffic;Commercial Light Traffic - Architessa","commercial-light-traffic-commercial-light-traffic-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Commercial_Light_Traffic_-_WOW_Cottage.png?v=1711373768"
"Clean & Seal;Clean & Seal - Architessa","clean-seal-clean-seal-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/stonetech_stone_tile_cleaner_qgoz_600x_jpg.webp?v=1711373768"
"Modern & Minimalist;","modern-minimalist.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/SLIMWOOD_modern.png?v=1729529072"
"Subway & Brick;Subway & Brick - Architessa","subway-brick-subway-brick-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/subway_hustle_5f48cff6-cfb9-4aae-aaa3-5e96d77e06c7.jpg?v=1711373779"
"Hollywood Regency;Mens dress shoes on black and white mosaic tile","hollywood-regency-mens-dress-shoes-on-black-and-white-mosaic-tile.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Hollywood_Regency_geometric_mosaic.jpg?v=1682368998"
"Craftsman;Craftsman - Architessa","craftsman-craftsman-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/craftsman_sequoia.webp?v=1711373771"
"Maximalist;Maximalist - Architessa","maximalist-maximalist-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Maximalist.png?v=1711373775"
"Rustic;Rustic - Architessa","rustic-rustic-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/04f57eac5468191d8c1eadbd6c615c05.jpg?v=1711373779"
"Scandinavian;Scandinavian - Architessa","scandinavian-scandinavian-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/scandinavian_sherwood.jpg?v=1711373779"
"Greige;Greige - Architessa","greige-greige-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Greige.png?v=1711373771"
"Pool Tile;Pool Tile - Architessa","pool-tile-pool-tile-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Pool_Tile_-_Taza.png?v=1711373775"
"Cladding & Facade;Cladding - Architessa","cladding-facade-cladding-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/CR1QSRusticCladdingQuartziteSilverStoneExteriorWallPool-min1-min_900x_6b513f7a-1bec-4932-99f3-579611302c5a.webp?v=1711373768"
"USA Made;USA Made - Architessa","usa-made-usa-made-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/288112574625.webp?v=1711373783"
"Recycled Content 10;Recycled Content 10 - Architessa","recycled-content-10-recycled-content-10-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/d1c442dc9ac81c726a2d639a38f36a88.jpg?v=1711373779"
"Recycled Content 20;Recycled Content 20 - Architessa","recycled-content-20-recycled-content-20-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/4b2b72c96c5efdd791fc25160f3b4037.jpg?v=1711373779"
"Landscape Architecture;Landscape Architecture - Architessa","landscape-architecture-landscape-architecture-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/4e02df5433a9cd0a8e40e5dd1ba4942a.jpg?v=1711373775"
"Engineered Wood;Engineered Wood - Architessa","engineered-wood-engineered-wood-architessa.jpg","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/2bf9a0df484d457e8dcad01fee148244.jpg?v=1711373771"
"Pebble Tile;Pebble Tile - Architessa","pebble-tile-pebble-tile-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/Perfect-Pebble-Birds-Egg-Blend-184_2000x_df71ba4f-7665-490b-902b-0cbcc20f15ba.webp?v=1711373775"
"Thresholds & Trim;Thresholds & Trim - Architessa","thresholds-trim-thresholds-trim-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/4229181baf62e72bd78667dd7c8c7185.png?v=1711373783"
"Tools;Tools - Architessa","tools-tools-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/tools.png?v=1711373783"
"Cove Base;Cove Base - Architessa","cove-base-cove-base-architessa.webp","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/cove_base_6x12_f4c0bb68-c1c8-4163-a92a-08aff856db23_2000x_png.webp?v=1711373771"
"Stock Natural Stone;Stock Natural Stone - Architessa","stock-natural-stone-stock-natural-stone-architessa.png","https://cdn.shopify.com/s/files/1/0416/7847/1329/collections/stock_natural_stone_blue_tides_portfolio.png?v=1711373779"
